ID,Hair_Type_Code,Hair_Type_Description,Hair_Porosity,Scalp_Type,Common_Issue,Likely_Cause,Symptoms,Recommended_Solution,Suggested_Treatment,Treatment_Frequency,Severity_Level
377,2A,"Wavy - Loose, fine waves",Low Porosity,Oily Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
378,2A,"Wavy - Loose, fine waves",Low Porosity,Oily Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
379,2A,"Wavy - Loose, fine waves",Low Porosity,Oily Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
380,2A,"Wavy - Loose, fine waves",Low Porosity,Oily Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
381,2A,"Wavy - Loose, fine waves",Low Porosity,Oily Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
382,2A,"Wavy - Loose, fine waves",Low Porosity,Oily Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
383,2A,"Wavy - Loose, fine waves",Low Porosity,Oily Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
384,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
385,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
386,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
387,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
388,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
389,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
390,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
391,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
392,2A,"Wavy - Loose, fine waves",Low Porosity,Dry Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
393,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
394,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
395,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
396,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
397,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
398,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
399,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
400,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
401,2A,"Wavy - Loose, fine waves",Low Porosity,Normal Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
402,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
403,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
404,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
405,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
406,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
407,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
408,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
409,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
410,2A,"Wavy - Loose, fine waves",Low Porosity,Combination Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
411,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
412,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
413,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor","Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying shampoo,Every 2-3 days,Mild-Moderate
414,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Protein treatment + deep conditioning mask,Weekly,Moderate
415,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull","Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
416,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Anti-frizz serum/cream,Daily as needed,Mild
417,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Minoxidil topical + supplements,Daily application,Moderate-Severe
418,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
419,2A,"Wavy - Loose, fine waves",Low Porosity,Sensitive Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel","Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Use lightweight, water-based products applied to damp hair; avoid heavy butters/oils that sit on the cuticle; consider heat (steam) to help product absorption.",Clarifying/chelating shampoo,Every 1-2 weeks,Mild
420,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
421,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
422,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
423,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
424,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
425,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
426,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Itchy/Irritated Scalp,"Allergic reaction to products, dry skin, dandruff, or scalp psoriasis/eczema","Persistent itching, redness, occasional burning sensation","Switch to fragrance-free, sulfate-free shampoo; use a soothing scalp serum with aloe vera or tea tree oil. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Soothing scalp serum,"Daily until resolved, then 2x/week",Mild-Moderate
427,2A,"Wavy - Loose, fine waves",Medium Porosity,Oily Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
428,2A,"Wavy - Loose, fine waves",Medium Porosity,Dry Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
429,2A,"Wavy - Loose, fine waves",Medium Porosity,Dry Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
430,2A,"Wavy - Loose, fine waves",Medium Porosity,Dry Scalp,Hair Breakage,"Excess heat styling, chemical treatments, over-brushing, or protein/moisture imbalance","Short broken strands, rough texture, visible split hairs","Reduce heat styling, use a protein-moisture balanced deep conditioner, trim damaged ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Protein treatment + deep conditioning mask,Weekly,Moderate
431,2A,"Wavy - Loose, fine waves",Medium Porosity,Dry Scalp,Split Ends,"Mechanical damage, lack of trimming, friction from towels/pillowcases","Frayed, forked hair tips that look dry and dull",Regular trims every 8-10 weeks and use leave-in conditioner or hair oil to seal ends. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Leave-in conditioner + regular trims,"Bi-weekly application, trims every 2 months",Mild
432,2A,"Wavy - Loose, fine waves",Medium Porosity,Dry Scalp,Frizz,"Humidity, lack of moisture, raised hair cuticle, or over-washing","Flyaway strands, rough and unmanageable texture","Use anti-frizz serum, microfiber towel drying, and leave-in cream with humectants like glycerin. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Anti-frizz serum/cream,Daily as needed,Mild
433,2A,"Wavy - Loose, fine waves",Medium Porosity,Dry Scalp,Hair Thinning,"Genetics, stress, nutritional deficiency, hormonal imbalance, or postpartum changes","Reduced hair density, visible scalp, thinner ponytail","Use minoxidil-based topical treatment, biotin/iron supplementation (consult a doctor), and gentle scalp massage. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Minoxidil topical + supplements,Daily application,Moderate-Severe
434,2A,"Wavy - Loose, fine waves",Medium Porosity,Dry Scalp,Product Buildup,"Accumulation of styling products, hard water minerals, or infrequent clarifying washes","Dull, weighed-down hair, reduced curl definition, waxy scalp feel",Use a clarifying or chelating shampoo once every 1-2 weeks to remove residue. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying/chelating shampoo,Every 1-2 weeks,Mild
435,2A,"Wavy - Loose, fine waves",Medium Porosity,Normal Scalp,Dandruff,"Malassezia fungus overgrowth, dry skin, or sensitivity to hair products","White/yellow flakes on scalp and shoulders, mild itching","Use an anti-dandruff shampoo containing zinc pyrithione, ketoconazole, or selenium sulfide; avoid over-washing. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Medicated anti-dandruff shampoo,2-3 times per week,Mild-Moderate
436,2A,"Wavy - Loose, fine waves",Medium Porosity,Normal Scalp,Dry Scalp,"Low sebum production, cold/dry weather, harsh shampoos, or dehydration","Tight, flaky, itchy scalp without excess oil","Apply a hydrating scalp oil (jojoba, argan) and switch to a sulfate-free moisturizing shampoo. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.",Scalp oil massage + hydrating shampoo,2 times per week,Mild
437,2A,"Wavy - Loose, fine waves",Medium Porosity,Normal Scalp,Oily Scalp,"Overactive sebaceous glands, hormonal changes, or infrequent washing","Greasy roots, flat-looking hair, scalp odor",Use a clarifying shampoo with tea tree oil or salicylic acid; avoid heavy conditioners near the roots. Porosity-specific tip: Balanced routine works well; maintain regular deep conditioning every 1-2 weeks to preserve moisture-protein balance.,Clarifying shampoo,Every 2-3 days,Mild-Moderate
